Name,Link,Prize Pool,Buy In,Top Prize,Max Entries,Entries,Cash Line,Winner,Winning Score,Week
NFL $5M Roman Fantasy Football Millionaire [$1M to 1st],Contest,5000000.0,20.0,1000000,150,281924,180.34,chalk,301.18,Week 1
NFL $1.5M Wildcat [$250K to 1st],Contest,1500000.0,333.0,250000,150,5005,188.76,fjbourne,271.78,Week 1
NFL $600K Luxury Box [$150K to 1st],Contest,600000.0,2120.0,150000,9,300,204.46,BrandonAdams,257.7,Week 1
NFL $500K Week 1 Heavy Hitter [$200K to 1st],Contest,500000.0,26200.0,200000,1,19,223.86,dandydon,250.68,Week 1
NFL $500K Slant [$50K to 1st],Contest,500000.0,9.0,50000,150,65359,186.88,soapmeas,281.16,Week 1
"NFL $400K Power Sweep [3 Entry Max, $100K to 1st]",Contest,400000.0,150.0,100000,3,2962,197.56,bdiddy92,268.26,Week 1
NFL MASSIVE $25 Double Up,Contest,400000.0,25.0,50,150,16950,204.82,youdacao,283.48,Week 1
NFL $200K Thunderdome [Single Entry],Contest,200000.0,5300.0,60000,1,38,210.06,dandydon,250.68,Week 1
NFL MASSIVE $5 Double Up,Contest,150000.0,5.0,10,150,34482,203.02,youdacao,283.48,Week 1
NFL $150K Nickel [3 Entry Max],Contest,150000.0,5.0,20000,3,35671,180.24,tonlocster,279.94,Week 1
NFL $150K Fair Catch [Single Entry],Contest,150000.0,12.0,15000,1,14705,184.26,Jayjdee,272.96,Week 1
"NFL $150K Power Sweep [3 Entry Max, $30K to 1st]",Contest,150000.0,150.0,30000,3,1111,194.56,thechubasco,254.26,Week 1
$10M Fantasy Football World Championship Double Qualifier #6-7,Contest,129222.2,500.0,1000,9,270,225.86,rayofhope,254.26,Week 1
NFL $100K Spy [Single Entry],Contest,100000.0,100.0,10000,1,1111,191.58,nlangen,277.56,Week 1
NFL $100K Engage Eight [3 Entry Max],Contest,100000.0,8.0,10000,3,14705,187.26,lober202,275.76,Week 1
NFL $100K Flea Flicker [$10K to 1st],Contest,100000.0,5.0,10000,150,23781,183.26,I-HATE-PANTS,285.78,Week 1
NFL MASSIVE $25 Double Up [Single Entry],Contest,100000.0,25.0,50,1,4597,186.76,PetrGibbons,272.18,Week 1
NFL MASSIVE $5 Double Up,Contest,100000.0,5.0,10,150,22988,206.42,youdacao,283.48,Week 1
"NFL GIANT $1,060 50-50",Contest,100000.0,1060.0,2000,3,98,201.86,PetrGibbons | PetrGibbons | PetrGibbons,272.18,Week 1
"NFL $100K Super Booster [Top 100 Win $1,000]",Contest,100000.0,27.0,1000,129,4319,228.18,nbgoss81,276.28,Week 1
NFL $100K Spy [Single Entry],Contest,100000.0,100.0,10000,1,1111,189.38,needlunchmoney,259.06,Week 1
"Free-to-Play $100,000 Fantasy Football Contest Presented by Venom",Contest,100000.0,0.0,500,1,207352,134.32,chiefdav,285.56,Week 1
NFL $99K Three-Point Stance [3 Entry Max],Contest,99000.0,33.0,10000,3,3498,191.58,FFGURU8610,261.56,Week 1
NFL GIANT $50 Double Up [Single Entry],Contest,75000.0,50.0,100,1,1704,193.64,PetrGibbons,272.18,Week 1
NFL GIANT $10 Double Up,Contest,75000.0,10.0,20,150,8620,210.96,youdacao,283.48,Week 1
NFL GIANT $100 Double Up [Single Entry],Contest,75000.0,100.0,200,1,833,193.52,CORNhuskerJAKE22,274.66,Week 1
$10M Fantasy Football World Championship Qualifier #1,Contest,70096.1,5.0,1000,150,16669,205.34,RYANEOZ,278.46,Week 1
NFL $70K Luxury Box [$25K to 1st],Contest,70000.0,2120.0,25000,1,32,210.86,dandydon,250.68,Week 1
$10M Fantasy Football World Championship Qualifier #2,Contest,68991.1,16.0,1000,150,5072,209.16,TeeJayOrTj,270.98,Week 1
$10M Fantasy Football World Championship Qualifier #3,Contest,68961.1,33.0,1000,73,2458,210.86,TeeJayOrTj,270.98,Week 1
$10M Fantasy Football World Championship Qualifier #5,Contest,68111.1,150.0,1000,16,534,217.12,escot4,255.14,Week 1
$10M Fantasy Football World Championship Qualifier #4,Contest,67661.1,50.0,1000,47,1592,214.56,TeeJayOrTj,270.98,Week 1
$10M Fantasy Football World Championship Qualifier #8,Contest,65311.1,1100.0,1000,2,63,230.42,jakelax99,246.56,Week 1
$10M Fantasy Football World Championship Qualifier #9,Contest,62611.1,5600.0,1000,1,11,246.56,jakelax99,246.56,Week 1
$10M Fantasy Football World Championship Qualifier #10,Contest,62611.1,5600.0,1000,1,11,243.16,golions85,243.16,Week 1
NFL $50K Quarter Jukebox [Just $0.25!],Contest,50000.0,0.25,2000,20,237812,174.62,TheFFOracle,280.18,Week 1
NFL $50K Mini-MAX [150 Entry Max],Contest,50000.0,0.5,10000,150,118906,180.46,marcfortunato5,285.26,Week 1
NFL $50K Red Zone [Single Entry],Contest,50000.0,50.0,5000,1,1136,192.6,THEROBBOB20,267.58,Week 1
NFL GIANT $50 Double Up,Contest,50000.0,50.0,100,34,1105,209.36,PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons,272.18,Week 1
NFL GIANT $10 Double Up [Single Entry],Contest,50000.0,10.0,20,1,5747,184.66,PetrGibbons,272.18,Week 1
NFL GIANT $2 Double Up,Contest,50000.0,2.0,4,20,28735,184.72,antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | postlethwait | antonino_derosa | postlethwait | antonino_derosa | antonino_derosa | postlethwait | postlethwait | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | antonino_derosa | postlethwait | antonino_derosa,272.18,Week 1
NFL GIANT $5 Double Up [Single Entry],Contest,50000.0,5.0,10,1,11494,176.76,PetrGibbons,272.18,Week 1
NFL $50K Pylon [Single Entry],Contest,50000.0,3.0,5000,1,19817,178.2,nbezner13,269.56,Week 1
NFL $50K Super Booster [Top 500 Win $100],Contest,50000.0,4.0,100,20,14727,220.16,Joshhimmelright,286.14,Week 1
NFL GIANT Single Entry $25 Double Up,Contest,50000.0,25.0,50,1,2298,192.46,PetrGibbons,272.18,Week 1
NFL $50K Red Zone [Single Entry],Contest,50000.0,50.0,5000,1,1136,191.06,gmen4ever,271.56,Week 1
NFL GIANT $50 Double Up,Contest,50000.0,50.0,100,34,1019,198.96,STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES,269.28,Week 1
NFL $50K Juke [3 Entry Max],Contest,50000.0,400.0,10000,3,138,197.36,mrnastytime91,245.56,Week 1
NFL $50K Flea Flicker,Contest,50000.0,5.0,5000,150,11890,183.26,wakeywakey,276.48,Week 1
NFL GIANT $250 Double Up [Single Entry],Contest,50000.0,250.0,500,1,222,201.54,PetrGibbons,272.18,Week 1
NFL GIANT $530 50-50,Contest,50000.0,530.0,1000,3,95,204.82,PetrGibbons | PetrGibbons | PetrGibbons,272.18,Week 1
NFL GIANT $250 Double Up,Contest,40000.0,250.0,500,5,177,202.16,PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons,272.18,Week 1
NFL GIANT $100 Double Up,Contest,40000.0,100.0,200,13,411,196.12,STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES | STR8_CASH_HOMIES,269.28,Week 1
NFL GIANT $100 Double Up,Contest,40000.0,100.0,200,13,438,205.86,PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons | PetrGibbons,272.18,Week 1
NFL $40K Game Changer [Single Entry],Contest,40000.0,1060.0,10000,1,40,202.66,ARaven52,236.36,Week 1
NFL $40K Juke [3 Entry Max],Contest,40000.0,400.0,10000,3,111,200.36,BallzDeep1,261.76,Week 1
NFL $40K Fair Catch [Single Entry],Contest,40000.0,12.0,4000,1,3921,183.86,gmonrykid25,265.86,Week 1
NFL $30K Spin Move [Single Entry],Contest,30000.0,300.0,4000,1,111,195.66,paulbertini,252.46,Week 1
NFL $30K Pylon [Single Entry],Contest,30000.0,3.0,3000,1,11890,183.02,mattsteam,284.36,Week 1
NFL GIANT Single Entry $10 Double Up,Contest,25000.0,10.0,20,1,2873,190.42,PetrGibbons,272.18,Week 1
NFL GIANT $50 Double Up [Single Entry],Contest,25000.0,50.0,100,1,568,195.02,STR8_CASH_HOMIES,269.28,Week 1
NFL GIANT $250 Double Up [Single Entry],Contest,25000.0,250.0,500,1,111,202.14,PetrGibbons,272.18,Week 1
NFL GIANT $10 Double Up,Contest,25000.0,10.0,20,86,2873,220.86,youdacao,283.48,Week 1
NFL GIANT $100 Double Up [Single Entry],Contest,25000.0,100.0,200,1,277,197.84,PetrGibbons,272.18,Week 1
NFL $25K Spy [Single Entry],Contest,25000.0,100.0,5000,1,277,190.92,GoToFantasyGuy,258.26,Week 1
NFL $25K Power Sweep [3 Entry Max],Contest,25000.0,150.0,5000,3,185,192.16,cfreee33,253.56,Week 1
NFL $25K Singleback [3 Entry Max],Contest,25000.0,1.0,1500,3,29726,179.26,carlosgee16,276.38,Week 1
NFL GIANT Single Entry $5 Double Up,Contest,20000.0,5.0,10,1,4597,184.42,PetrGibbons,272.18,Week 1
"NFL BIG $2 Booster [Top 1,000 Win $20]",Contest,20000.0,2.0,20,20,11890,205.36,TheFFOracle,280.18,Week 1
NFL $20K Three-Point Stance [3 Entry Max],Contest,20000.0,33.0,2000,3,706,193.6,bigbrando17,267.76,Week 1
NFL $20K Three-Point Stance [3 Entry Max],Contest,20000.0,33.0,2000,3,706,189.16,Krayton33,283.96,Week 1
NFL $20K Nickel [3 Entry Max],Contest,20000.0,5.0,2000,3,4756,182.16,jlauf,279.76,Week 1
NFL $20K Safety,Contest,20000.0,2.0,2000,20,11890,179.62,edo9125,278.08,Week 1
NFL $20K Chop Block,Contest,20000.0,50.0,3500,13,454,200.26,railbird187,255.76,Week 1
NFL $20K Chop Block,Contest,20000.0,50.0,3500,13,454,191.98,Cody.humphrey35,258.46,Week 1
NFL $20K Mini-MAX [150 Max Entry],Contest,20000.0,0.5,1500,150,47562,184.96,TheFFOracle,280.18,Week 1
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,689,185.82,aejones | THEROBBOB20,267.58,Week 1
NFL $15K Touchdown [2 Entry Max],Contest,15000.0,200.0,4000,2,83,204.36,paulbertini,252.46,Week 1
NFL $15K Touchdown [2 Entry Max],Contest,15000.0,200.0,4000,2,83,210.06,The-Vigilantes,256.66,Week 1
NFL $15K Touchdown [2 Entry Max],Contest,15000.0,200.0,4000,2,83,192.78,dlscwbys2,258.88,Week 1
NFL $15K Hot Route,Contest,15000.0,100.0,2500,4,166,197.36,ChipotleAddict,242.68,Week 1
NFL $15K Playmaker [Single Entry],Contest,15000.0,555.0,4000,1,30,202.92,mrgoodseats,228.96,Week 1
NFL $15K Hail Mary,Contest,15000.0,12.0,1500,44,1470,181.56,jayk123x,257.36,Week 1
NFL $15K Engage Eight [5 Entry Max],Contest,15000.0,8.0,1500,5,2205,187.86,hooligan9,267.46,Week 1
NFL $15K Daily Dollar [Single Entry],Contest,15000.0,1.0,750,1,17835,180.64,carlosgee16,287.48,Week 1
NFL $12K Game Changer [Single Entry],Contest,12000.0,1060.0,6000,1,12,228.96,dandydon,250.68,Week 1
NFL Single Entry $25 Double Up,Contest,10000.0,25.0,50,1,459,191.52,STR8_CASH_HOMIES,269.28,Week 1
NFL Single Entry $25 Double Up,Contest,10000.0,25.0,50,1,459,188.02,URMYCASHAPPS,259.76,Week 1
NFL Single Entry $100 Double Up,Contest,10000.0,100.0,200,1,111,201.86,STR8_CASH_HOMIES,269.28,Week 1
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2298,178.62,antonino_derosa,272.18,Week 1
NFL Single Entry $2 Double Up,Contest,10000.0,2.0,4,1,5747,183.66,antonino_derosa,272.18,Week 1
NFL Fantasy Football Millionaire SUPERSatellite [500x],Contest,10000.0,1.0,0,20,11890,209.32,e.williams,278.48,Week 1
NFL $10K Wildcat [Single Entry],Contest,10000.0,333.0,3000,1,33,202.5,actionschmidt,238.16,Week 1
NFL $10K Red Zone [Single Entry],Contest,10000.0,50.0,1000,1,227,188.74,konman1,255.14,Week 1
NFL $10K Safety [20 Entry Max],Contest,10000.0,2.0,500,20,5945,181.42,pep8,281.36,Week 1
NFL $10K Singleback [3 Entry Max],Contest,10000.0,1.0,500,3,11890,178.82,hooligan9,267.46,Week 1
NFL $10K Wildcat [Single Entry],Contest,10000.0,333.0,3000,1,33,205.58,mrgoodseats,228.96,Week 1
NFL $10K Red Zone [Single Entry],Contest,10000.0,50.0,1000,1,227,190.86,49ers1614,275.08,Week 1
NFL $10K Pylon [Single Entry],Contest,10000.0,3.0,500,1,3963,179.84,scrill8,269.06,Week 1
NFL $10K Hot Route,Contest,10000.0,100.0,1500,3,111,197.36,paulbertini,252.46,Week 1
NFL $10K Hail Mary,Contest,10000.0,12.0,1000,29,980,187.74,jayk123x,257.36,Week 1
NFL $1M King of the Beach Qualifier #4,Contest,8597.5,20.0,0,5,505,218.66,Joemarino27,268.16,Week 1
NFL $1M King of the Beach Qualifier #5,Contest,8597.5,20.0,0,5,505,222.66,Joemarino27,268.16,Week 1
NFL $1M King of the Beach Qualifier #2,Contest,8557.5,4.0,0,5,2543,215.86,Joemarino27,268.16,Week 1
NFL $1M King of the Beach Qualifier #3,Contest,8537.5,12.0,0,5,837,220.28,Joemarino27,268.16,Week 1
NFL $1M King of the Beach Qualifier #6,Contest,8537.5,100.0,0,3,100,222.84,wiggmosis,250.76,Week 1
NFL $1M King of the Beach Qualifier #7,Contest,8537.5,100.0,0,3,100,217.12,ihaveareputation,235.46,Week 1
NFL $1M King of the Beach Qualifier #1,Contest,8517.5,1.0,0,5,10127,213.98,johnboys17,270.86,Week 1
NFL $8K Stiff Arm,Contest,8000.0,555.0,3500,1,16,228.96,dandydon,250.68,Week 1
NFL Single Entry $10 Double Up,Contest,7000.0,10.0,20,1,804,192.26,STR8_CASH_HOMIES,269.28,Week 1
NFL Single Entry $10 Double Up,Contest,7000.0,10.0,20,1,804,189.22,aejones | THEROBBOB20,267.58,Week 1
NFL $7K Hail Mary,Contest,7000.0,12.0,650,20,686,198.64,Dignity777,275.64,Week 1
NFL $6.9K Touchdown [Single Entry],Contest,6900.0,200.0,2000,1,38,189.8,moklovin,234.66,Week 1
NFL $6.5K Hot Route [2 Entry Max],Contest,6500.0,100.0,1200,2,72,201.0,GoToFantasyGuy,258.26,Week 1
NFL $6K Power Sweep [Single Entry],Contest,6000.0,150.0,1000,1,44,205.86,mrgoodseats | myepicwave,228.96,Week 1
NFL $6K Blitz [Single Entry],Contest,6000.0,300.0,2000,1,22,223.56,dandydon,250.68,Week 1
NFL $100 Double Up,Contest,6000.0,100.0,200,1,66,203.26,aejones,267.58,Week 1
"NFL $5,600 FFWC Qualifier Satellite",Contest,5600.0,565.0,0,1,10,228.96,mrgoodseats,228.96,Week 1
NFL Single Entry $5 Double Up,Contest,5000.0,5.0,10,1,1149,182.96,STR8_CASH_HOMIES,269.28,Week 1
NFL Single Entry $5 Double Up,Contest,5000.0,5.0,10,1,1149,183.16,STR8_CASH_HOMIES,269.28,Week 1
NFL Fantasy Football Millionaire SUPERSatellite [250x],Contest,5000.0,5.0,0,35,1189,191.66,jayk123x,257.36,Week 1
NFL $5K Three-Point Stance [3 Entry Max],Contest,5000.0,33.0,1000,3,176,196.46,dandydon,250.68,Week 1
NFL $5K Quarter Jukebox [Just $0.25!],Contest,5000.0,0.25,250,20,23781,179.84,TheFFOracle,280.18,Week 1
NFL $5K Playmaker [Single Entry],Contest,5000.0,530.0,2500,1,10,228.96,dandydon,250.68,Week 1
NFL $5K Nickel [3 Entry Max],Contest,5000.0,5.0,500,3,1189,181.46,BigBuckBandit,247.36,Week 1
NFL $5K Daily Dollar [Single Entry],Contest,5000.0,1.0,250,1,5945,182.56,mjune613,263.28,Week 1
NFL $250 Double Up,Contest,5000.0,250.0,500,1,22,211.46,aejones,267.58,Week 1
Casual NFL $5K Front Four,Contest,5000.0,4.0,500,10,1486,172.02,ecadam23,249.36,Week 1
Casual NFL $5K Front Four,Contest,5000.0,4.0,500,10,1486,182.48,JordoMacdfs,264.86,Week 1
NFL $4.6M Roman Fantasy Football Millionaire [$1M to 1st],Contest,4600000.0,20.0,1000000,150,264213,153.98,JEREMYHEIN,237.84,Week 2
NFL $1.5M Wildcat [$250K to 1st],Contest,1500000.0,333.0,250000,150,4964,153.38,StevieStacks84,225.78,Week 2
NFL $670K Luxury Box [$150K to 1st],Contest,670000.0,2120.0,150000,10,335,155.24,tastefultides,209.44,Week 2
"NFL $500K Power Sweep [3 Entry Max, $100K to 1st]",Contest,500000.0,150.0,100000,3,3703,153.54,Domn8tr,224.68,Week 2
NFL $500K Slant,Contest,500000.0,9.0,50000,150,65359,155.04,Rockchalk88 | Rockchalk88 | Rockchalk88,236.44,Week 2
NFL MASSIVE $25 Double Up,Contest,300000.0,25.0,50,150,13793,139.94,coxbball,223.44,Week 2
NFL $200K Thunderdome [Single Entry],Contest,200000.0,5300.0,60000,1,40,16.42,Cubasugar1,25.68,Week 2
NFL $200K First Down,Contest,200000.0,1.0,10000,20,237812,151.48,kipmomay,245.14,Week 2
NFL $200K Fair Catch [Single Entry],Contest,200000.0,12.0,20000,1,19607,152.88,Rockchalk88,236.44,Week 2
NFL MASSIVE $5 Double Up,Contest,150000.0,5.0,10,150,34482,139.04,willc87,224.64,Week 2
NFL $150K Nickel [3 Entry Max],Contest,150000.0,5.0,20000,3,35671,153.02,jpup723,236.94,Week 2
NFL MASSIVE $5 Double Up,Contest,100000.0,5.0,10,150,22988,139.04,willc87,224.64,Week 2
NFL MASSIVE $25 Double Up [Single Entry],Contest,100000.0,25.0,50,1,4597,138.02,WildLynx,212.0,Week 2
"NFL $100K Spy [Single Entry, $10K to 1st]",Contest,100000.0,100.0,10000,1,1111,150.8,Ddohnalek,208.14,Week 2
"NFL $100K Spy [Single Entry, $20K to 1st]",Contest,100000.0,100.0,20000,1,1111,153.04,redskinscde,209.76,Week 2
NFL $100K Pylon [Single Entry],Contest,100000.0,3.0,10000,1,39635,151.76,Cam7734,245.14,Week 2
NFL $100K Flea Flicker [$10K to 1st],Contest,100000.0,5.0,10000,150,23781,149.84,Rockchalk88,236.44,Week 2
NFL $100K Engage Eight [3 Entry Max],Contest,100000.0,8.0,10000,3,14705,154.58,Rockchalk88,236.44,Week 2
NFL $99K Three-Point Stance [3 Entry Max],Contest,99000.0,33.0,10000,3,3498,153.38,akjules,221.98,Week 2
NFL GIANT $50 Double Up [Single Entry],Contest,75000.0,50.0,100,1,1704,135.68,WildLynx,212.0,Week 2
NFL GIANT $10 Double Up,Contest,75000.0,10.0,20,150,8620,142.94,jfont1352,214.04,Week 2
NFL GIANT $100 Double Up [Single Entry],Contest,75000.0,100.0,200,1,833,135.08,beatenbythenickstick,183.5,Week 2
"NFL $75K Super Booster [Top 75 Win $1,000]",Contest,75000.0,27.0,1000,97,3239,185.1,BRORANNOSAURUS_FLEX,220.2,Week 2
NFL $75K Red Zone [Single Entry],Contest,75000.0,50.0,7500,1,1704,149.54,zchodor,205.24,Week 2
$10M Fantasy Football World Championship Qualifier #14,Contest,70096.1,5.0,1000,150,16669,170.9,jgraham3025,222.78,Week 2
$10M Fantasy Football World Championship Qualifier #13,Contest,70096.1,5.0,1000,150,16669,171.42,cvellis,221.84,Week 2
"NFL GIANT $1,060 50-50",Contest,70000.0,1060.0,2000,2,67,137.78,hattrick8810,165.54,Week 2
$10M Fantasy Football World Championship Qualifier #15,Contest,68991.1,16.0,1000,150,5072,173.34,Jakes26,224.3,Week 2
$10M Fantasy Football World Championship Qualifier #16,Contest,68961.1,33.0,1000,73,2406,174.88,6furlong,209.04,Week 2
$10M Fantasy Football World Championship Qualifier #18,Contest,68111.1,150.0,1000,16,534,175.68,GarethGoh,211.78,Week 2
$10M Fantasy Football World Championship Qualifier #17,Contest,67661.1,50.0,1000,47,1592,177.04,jsurab,213.74,Week 2
$10M Fantasy Football World Championship Qualifier #20,Contest,65311.1,1100.0,1000,2,69,171.0,CoachS111,192.0,Week 2
$10M Fantasy Football World Championship Qualifier #21,Contest,62611.1,5600.0,1000,1,13,178.44,IslandBanker,178.44,Week 2
NFL $60K Juke [3 Entry Max],Contest,60000.0,400.0,15000,3,166,155.86,KidBroSweets,195.44,Week 2
NFL GIANT $250 Double Up [Single Entry],Contest,50000.0,250.0,500,1,222,139.1,KidBroSweets,195.44,Week 2
NFL GIANT $5 Double Up [Single Entry],Contest,50000.0,5.0,10,1,11494,139.1,moneyallday34,214.34,Week 2
NFL GIANT $50 Double Up,Contest,50000.0,50.0,100,34,1136,137.78,kuehnel24,207.04,Week 2
NFL GIANT $25 Double Up [Single Entry],Contest,50000.0,25.0,50,1,2298,137.28,miz_zou,226.58,Week 2
NFL GIANT $10 Double Up [Single Entry],Contest,50000.0,10.0,20,1,5747,138.78,WildLynx,212.0,Week 2
NFL $50K Mini-MAX [150 Entry Max],Contest,50000.0,0.5,10000,150,118906,154.8,caccavale31,229.84,Week 2
NFL $50K Quarter Jukebox [Just $0.25!],Contest,50000.0,0.25,2000,20,237812,151.7,jimmymix,246.8,Week 2
"NFL $50K Power Sweep [3 Entry Max, $10K to 1st]",Contest,50000.0,150.0,10000,3,370,154.18,rcusick82,205.54,Week 2
NFL GIANT $2 Double Up,Contest,40000.0,2.0,4,20,22988,137.7,jg49210,227.74,Week 2
NFL $40K Super Booster [Top 400 Win $100],Contest,40000.0,4.0,100,20,11764,179.04,jpup723,236.94,Week 2
NFL GIANT $250 Double Up,Contest,40000.0,250.0,500,5,177,137.78,rprovine,180.1,Week 2
"NFL GIANT $1,060 50-50",Contest,40000.0,1060.0,2000,1,40,138.22,bigmel911,163.54,Week 2
NFL GIANT $100 Double Up,Contest,40000.0,100.0,200,13,444,137.78,gff87,193.44,Week 2
NFL $40K Game Changer [Single Entry],Contest,40000.0,1060.0,10000,1,40,150.74,Slash1111,174.9,Week 2
NFL GIANT $530 50-50,Contest,35000.0,530.0,1000,2,70,137.78,hattrick8810,165.54,Week 2
NFL $30K Three-Point Stance [3 Entry Max],Contest,30000.0,33.0,5000,3,1060,150.44,hicksville,209.44,Week 2
NFL $30K Chop Block [$5K to 1st],Contest,30000.0,50.0,5000,20,681,151.0,Nips3,230.58,Week 2
NFL $30K Spin Move [Single Entry],Contest,30000.0,300.0,5000,1,111,150.74,KidBroSweets,195.44,Week 2
NFL GIANT $5 Double Up [Single Entry],Contest,25000.0,5.0,10,1,5747,138.98,smuoio,223.18,Week 2
NFL GIANT $50 Double Up [Single Entry],Contest,25000.0,50.0,100,1,568,134.84,HaarBaaw,188.68,Week 2
NFL GIANT $10 Double Up [Single Entry],Contest,25000.0,10.0,20,1,2873,138.14,DennyDawg,209.1,Week 2
NFL GIANT $10 Double Up,Contest,25000.0,10.0,20,86,2873,144.64,Harwinkle,210.14,Week 2
NFL $25K Singleback [3 Entry Max],Contest,25000.0,1.0,1500,3,29726,152.38,jpup723,236.94,Week 2
NFL $25K Red Zone [Single Entry],Contest,25000.0,50.0,3000,1,568,151.34,Willydon10,212.8,Week 2
NFL $25K Safety,Contest,25000.0,2.0,2000,20,14863,153.2,jpup723,236.94,Week 2
NFL $25K Play-Action [$5K to 1st],Contest,25000.0,3.0,5000,20,9908,156.06,cwrms,239.98,Week 2
NFL $25K Play-Action [$5K to 1st],Contest,25000.0,3.0,5000,20,9908,156.54,antgigs,232.94,Week 2
NFL $25K Play-Action [$5K to 1st],Contest,25000.0,3.0,5000,20,9908,155.98,CJISCOMING,221.88,Week 2
NFL $25K Hail Mary,Contest,25000.0,12.0,2500,73,2450,150.78,suidmach,208.9,Week 2
NFL GIANT $250 Double Up [Single Entry],Contest,25000.0,250.0,500,1,111,136.04,ellisbemgals,198.94,Week 2
NFL GIANT $100 Double Up [Single Entry],Contest,25000.0,100.0,200,1,277,136.74,RGP111,186.78,Week 2
NFL $25K Touchdown,Contest,25000.0,200.0,5000,4,138,154.78,DEMOZ,192.94,Week 2
NFL $25K Hot Route,Contest,25000.0,100.0,5000,8,277,147.14,DonkeyPunchers,189.2,Week 2
NFL $20K Stiff Arm [Single Entry],Contest,20000.0,555.0,5000,1,40,150.74,rsqx2,168.38,Week 2
NFL $20K Power Sweep [3 Entry Max],Contest,20000.0,150.0,5000,3,148,156.1,MarkJ1981,194.64,Week 2
NFL $20K Power Sweep [3 Entry Max],Contest,20000.0,150.0,5000,3,148,150.86,robocles,197.04,Week 2
NFL Single Entry $25 Double Up,Contest,18000.0,25.0,50,1,827,135.92,insanespiv,202.04,Week 2
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,689,138.08,coxbball,223.44,Week 2
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,689,137.84,cossiboon,209.64,Week 2
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,689,138.38,BBATES834,193.24,Week 2
NFL Single Entry $25 Double Up,Contest,15000.0,25.0,50,1,689,139.04,jjbfarrell,200.58,Week 2
NFL BIG $2 Booster [Top 750 Win $20],Contest,15000.0,2.0,20,20,8823,166.98,jpup723,236.94,Week 2
NFL $15K Fair Catch [Single Entry],Contest,15000.0,12.0,1500,1,1470,153.78,wert0z,215.7,Week 2
NFL $15K Spy [Single Entry],Contest,15000.0,100.0,2500,1,166,155.86,armysmith160,191.9,Week 2
NFL $15K Power Sweep [3 Entry Max],Contest,15000.0,150.0,3000,3,111,150.98,apbajam,197.64,Week 2
NFL $15K Game Changer [Single Entry],Contest,15000.0,1060.0,6000,1,15,140.64,EmpireMaker2,159.18,Week 2
Win a FREE Lifetime Fantasy Pros Subscription,Contest,12000.0,3.0,0,1,3657,139.88,rob_deer,222.34,Week 2
NFL $12K Spy [Single Entry],Contest,12000.0,100.0,2000,1,133,147.36,Hedzup01,199.14,Week 2
NFL $12K Stiff Arm [Single Entry],Contest,12000.0,555.0,4000,1,24,160.98,KidBroSweets,195.44,Week 2
NFL UFC 229 VIP Experience -- Win Floor Seats,Contest,11849.0,33.0,1000,12,355,181.58,scotty71,208.24,Week 2
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2298,139.96,gordo12,207.7,Week 2
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2298,139.08,grantm422,204.44,Week 2
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2298,138.58,cossiboon,209.64,Week 2
NFL Single Entry $5 Double Up,Contest,10000.0,5.0,10,1,2298,139.14,cossiboon,209.64,Week 2
NFL Single Entry $2 Double Up,Contest,10000.0,2.0,4,1,5747,138.54,HardDazedNite,218.74,Week 2
NFL Single Entry $10 Double Up,Contest,10000.0,10.0,20,1,1149,138.18,insanespiv,202.04,Week 2
NFL Single Entry $25 Double Up,Contest,10000.0,25.0,50,1,459,136.78,pdog7130,205.48,Week 2
