player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits
Desmond Trufant,CB,27.361,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,6,0,6,0,0
Derrick Shelby,DE,29.186,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,2,0,2,0,0
Deadrin Senat,NT,24.046,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,2,1,3,0,0
Duke Riley,LB,24.028,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0
Brian Poole,CB,25.321,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,1.0,6,0,6,1,1
Foyesade Oluokun,LB,23.035,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
Keanu Neal,S,23.042,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0
Takkarist McKinley,DE,22.308,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,1.0,1,0,1,1,2
Terrell McClain,DT,30.048,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
Damontae Kazee,S,25.093,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,3,0,3,0,0
Deion Jones,LB,23.306,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,5,9,0,0
Grady Jarrett,DT,25.131,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,3,2,5,0,1
Kemal Ishmael,S,27.123,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,1,2,0,0
Jack Crawford,DL,29.364,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
De'Vondre Campbell,LB,25.065,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,2,6,0,0
Vic Beasley,DE,26.060,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,1,0,1,0,0
Ricardo Allen,S,26.262,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,1,5,0,0
Robert Alford,CB,29.309,2018-09-06,NFL,ATL,@,PHI,L 12-18,1,1,Thu,0.0,4,0,4,0,0
Eddie Yarbrough,DE,25.138,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,3,0,3,0,0
Kyle Williams,LDT,35.091,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.5,3,1,4,2,1
TreDavious White,LCB,23.236,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,2,4,0,0
Adolphus Washington,DT,23.289,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,0,2,0,0
Jordan Poyer,FS,27.137,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,4,4,8,0,0
Lafayette Pitts,CB,25.350,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Harrison Phillips,DT,22.227,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,4,0,4,2,0
Matt Milano,WLB,24.043,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,7,1,8,2,0
Shaq Lawson,LDE,24.084,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,1
Taiwan Jones,RB,30.045,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Taron Johnson,CB,22.044,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,0,2,0,0
Micah Hyde,SS,27.252,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,1,3,0,0
Jerry Hughes,RDE,30.027,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,2,0,2,0,1
Andre Holmes,WR,30.085,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Phillip Gaines,RCB,27.158,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,3,1,4,0,0
Tremaine Edmunds,MLB,20.130,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,1.0,3,4,7,0,1
Patrick DiMarco,FB,29.132,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,1,0,1,0,0
Rafael Bush,S,31.120,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,4,3,7,0,0
Lorenzo Alexander,SLB,35.101,2018-09-09,NFL,BUF,@,BAL,L 3-47,1,1,Sun,0.0,8,0,8,0,0
Shaq Thompson,SLB,24.141,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1.0,5,4,9,1,1
Ian Thomas,TE,22.095,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,0,1,0,0
Kawann Short,DT,29.219,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,2.0,2,0,2,2,4
Da'Norris Searcy,SS,29.297,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,2,1,3,0,0
Jared Norris,LB,25.052,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,0,1,0,0
Captain Munnerlyn,CB,30.152,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,2,0,2,0,0
Kyle Love,NT,31.295,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,1,2,0,0
Luke Kuechly,MLB,27.142,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,11,2,13,0,0
Colin Jones,DB,30.317,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,1,2,0,0
Donte Jackson,RCB,22.305,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,4,1,5,0,0
Wes Horton,DE,28.266,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1.5,1,2,3,1,2
Bryan Cox,DE,24.076,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,1,2,0,0
James Bradberry,LCB,25.036,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,1,0,1,0,0
Mario Addison,DE,31.003,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,1.5,1,2,3,0,2
Mike Adams,FS,37.169,2018-09-09,NFL,CAR,,DAL,W 16-8,1,1,Sun,0.0,2,3,5,0,0
Danny Trevathan,ILB,28.169,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,5,2,7,0,0
Roquan Smith,LB,21.154,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,1,2,3,1,1
Roy Robertson-Harris,DE,25.048,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,1,0,1,1,3
Anthony Miller,WR,23.335,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Khalil Mack,LB,27.199,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,2,1,3,0,0
Nick Kwiatkoski,ILB,25.106,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,4,0,4,0,0
Eddie Jackson,S,25.273,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,2,0,2,0,0
Akiem Hicks,DT,28.297,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1.0,3,0,3,1,1
Eddie Goldman,NT,24.246,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,3,0,3,0,0
Kyle Fuller,CB,26.205,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,2,0,2,0,0
Leonard Floyd,OLB,26.001,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,1,2,1,0
Benny Cunningham,RB,28.064,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Bryce Callahan,CB,26.321,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,8,0,8,0,0
Deon Bush,DB,25.026,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Jonathan Bullard,DE,24.322,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,1,0,1,0,0
Prince Amukamara,CB,29.095,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,4,1,5,0,0
Adrian Amos,S,25.133,2018-09-09,NFL,CHI,@,GNB,L 23-24,1,1,Sun,0.0,6,0,6,0,0
Shawn Williams,SS,27.119,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,0,2,0,0
Nick Vigil,SLB,25.020,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,11,0,11,2,0
Hardy Nickerson,LB,24.247,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,4,0,4,0,0
Tony McRae,CB,25.129,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,1,3,0,0
Dre Kirkpatrick,LCB,28.318,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,3,0,3,0,0
Michael Johnson,RDE,31.214,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,1,0,1,0,1
William Jackson,RCB,25.317,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,4,0,4,0,0
Ryan Glasgow,DT,24.344,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,3,2,5,1,1
Clayton Fejedelem,S,25.099,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,9,1,10,0,0
Jordan Evans,WLB,23.225,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,1,3,0,0
Carlos Dunlap,LDE,29.193,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1.0,2,0,2,1,1
Darqueze Dennard,CB,26.334,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,2,1,3,0,0
Tra Carson,HB,25.320,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,1,0,1,0,0
Preston Brown,MLB,25.317,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,4,0,4,0,0
Jessie Bates,FS,21.195,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,0.0,8,0,8,0,0
Geno Atkins,DT,30.165,2018-09-09,NFL,CIN,@,IND,W 34-23,1,1,Sun,1.0,3,1,4,2,3
Denzel Ward,CB,21.134,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,4,6,0,0
Chris Smith,DL,26.210,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,2,3,0,0
Joe Schobert,MIKE,24.307,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,6,8,0,0
Denzel Rice,DB,25.162,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,1,3,0,0
Damarious Randall,S,26.011,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,4,1,5,0,0
Jabrill Peppers,S,22.340,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,3,3,6,0,0
Larry Ogunjobi,DT,24.098,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1.0,3,4,7,1,1
Terrance Mitchell,CB,26.115,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,6,0,6,0,0
Christian Kirksey,WILL,26.009,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,3,2,5,0,0
Derrick Kindred,DB,24.268,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,2,2,4,0,0
Myles Garrett,DE,22.254,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,2.0,5,1,6,1,2
Jamie Collins,SAM,28.324,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,4,2,6,0,0
Trevon Coley,DT,24.058,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,2,3,0,0
Nick Chubb,RB,22.256,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,0,1,0,0
Orson Charles,TE,27.225,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,1,1,2,0,0
Briean Boddy-Calhoun,DB,25.231,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,0.0,4,1,5,0,0
Genard Avery,LB,23.136,2018-09-09,NFL,CLE,,PIT,T 21-21,1,1,Sun,1.0,3,1,4,0,2
Jamar Taylor,CB,27.345,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,3,0,3,0,0
Garrison Smith,DT,26.335,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,1,0,1,1,0
Haason Reddick,LB,23.352,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,3,1,4,1,0
Patrick Peterson,CB,28.060,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,1.0,1,0,1,0,1
Corey Peters,DT,30.093,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,4,1,5,1,0
Robert Nkemdiche,DT,23.355,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,1.0,3,0,3,1,3
Benson Mayowa,DE,27.037,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,2,0,2,1,3
Chandler Jones,DE,28.194,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,1.0,2,1,3,0,0
Rodney Gunter,DT,26.233,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,1,0,1,0,0
Rudy Ford,S,23.312,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,2,0,2,0,0
Derrick Coleman,FB,27.326,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,1,0,1,0,0
Josh Bynes,MLB,29.016,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,8,3,11,0,0
Deone Bucannon,WLB,26.010,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,5,2,7,0,1
Tre Boston,S,26.076,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,5,1,6,0,1
Antoine Bethea,FS,34.044,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,9,1,10,1,0
Bene Benwikere,CB,27.006,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,2,0,2,0,0
Budda Baker,SS,22.242,2018-09-09,NFL,ARI,,WAS,L 6-24,1,1,Sun,0.0,8,3,11,0,0
Antwaun Woods,DT,25.249,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,1,2,0,0
Damien Wilson,LB,25.104,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,0,1,0,0
Leighton Vander Esch,LB,22.213,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,2,1,3,0,0
Joe Thomas,LB,27.126,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,2,3,0,0
Rod Smith,RB,26.242,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,0,1,0,0
Jaylon Smith,MLB,23.087,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,1.0,3,1,4,0,1
Daniel Ross,DT,25.178,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,1,2,0,0
Sean Lee,WLB,32.049,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,3,4,0,1
Demarcus Lawrence,DE,26.134,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,1.0,6,1,7,3,1
Byron Jones,CB,25.348,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,5,0,5,0,0
Jeff Heath,SS,27.118,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,5,1,6,0,0
Kavon Frazier,FS,24.029,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,4,4,8,1,0
Tyrone Crawford,DE,28.291,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,2,1,3,0,0
Maliek Collins,DT,23.154,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,1.0,1,0,1,1,1
Taco Charlton,DT,23.306,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,1,2,3,0,0
Anthony Brown,DB,24.268,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,2,1,3,0,0
Chidobe Awuzie,CB,23.108,2018-09-09,NFL,DAL,@,CAR,L 8-16,1,1,Sun,0.0,4,0,4,0,0
Derek Wolfe,DE,28.197,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,0,1,1,0
Justin Simmons,FS,24.294,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,3,1,4,0,0
Bradley Roby,LCB,26.131,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,2,0,2,0,0
Shane Ray,OLB,25.114,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,0,1,0,0
Tim Patrick,WR,24.290,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,0,1,0,0
Will Parks,S,24.042,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,1,2,0,0
Von Miller,WLB,29.167,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,3.0,6,1,7,3,4
Brandon Marshall,ILB,28.364,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,3,3,6,0,0
Phillip Lindsay,RB,24.047,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,0,1,0,0
Joseph Jones,ILB,24.200,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,2,0,2,0,0
Adam Jones,CB,34.344,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,2,0,2,1,0
Andy Janovich,FB,25.109,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,0,1,0,0
Shelby Harris,NT,27.029,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,1,0,1,1,2
Chris Harris,RCB,29.083,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,1.0,1,1,2,1,1
Todd Davis,ILB,26.115,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.0,8,0,8,0,1
Bradley Chubb,SLB,22.077,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,0.5,1,2,3,0,1
Shaquil Barrett,OLB,25.296,2018-09-09,NFL,DEN,,SEA,W 27-24,1,1,Sun,1.0,2,0,2,1,1
Tavon Wilson,SS,28.175,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,4,2,6,0,0
Sylvester Williams,DT,29.293,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,1,1,2,0,0
Charles Washington,S,25.184,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,1,0,1,0,0
Teez Tabor,CB,22.253,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,1,0,1,0,0
Darius Slay,CB,27.252,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,1,0,1,0,0
Glover Quin,FS,32.238,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,2,0,2,0,0
Sam Martin,P,28.195,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,1,0,1,0,0
Nevin Lawson,CB,27.140,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,4,0,4,0,0
Devon Kennard,OLB,27.078,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,1.0,4,2,6,1,1
Christian Jones,OLB,27.204,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,2,0,2,0,0
Ricky Jean-Francois,DT,31.291,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,3,1,4,0,0
Kerry Hyder,DE,27.131,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,3,0,3,0,0
Eli Harold,LB,24.233,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,1,0,1,0,0
Da'Shawn Hand,DL,22.300,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,3,1,4,0,0
Quandre Diggs,CB,25.231,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,4,0,4,0,0
Jarrad Davis,MLB,22.298,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,3,1,4,0,0
Ezekiel Ansah,DE,29.104,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,1.0,3,1,4,1,1
Jamal Agnew,CB,23.160,2018-09-10,NFL,DET,,NYJ,L 17-48,1,1,Mon,0.0,2,0,2,1,0
Tramon Williams,CB,35.177,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,5,1,6,0,0
Muhammad Wilkerson,DE,28.322,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,1,2,3,0,0
Jermaine Whitehead,S,25.181,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,3,0,3,0,0
Nick Perry,OLB,28.150,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,1.0,4,1,5,1,2
Antonio Morrison,LB,23.277,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,2,1,3,0,0
Clay Matthews,OLB,32.118,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,1,0,1,0,0
Blake Martinez,ILB,24.243,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,6,0,6,1,0
Dean Lowry,DL,24.092,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,1,0,1,1,0
Kevin King,CB,23.127,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,2,0,2,1,0
Josh Jackson,CB,22.159,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,3,0,3,1,0
Reggie Gilbert,LB,25.161,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,2,0,2,0,0
Mike Daniels,DL,29.127,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,1.0,3,0,3,0,1
Ha Ha Clinton-Dix,S,25.262,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,7,0,7,0,0
Kenny Clark,NT,22.340,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,2,1,3,0,1
Kentrell Brice,S,24.029,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,1.0,8,1,9,0,0
Hunter Bradley,LS,24.111,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,1,0,1,0,0
Jaire Alexander,CB,21.212,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,3,0,3,0,0
Montravius Adams,DL,23.047,2018-09-09,NFL,GNB,,CHI,W 24-23,1,1,Sun,0.0,1,0,1,0,0
Telvin Smith,WLB,27.151,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,5,2,7,0,0
Jalen Ramsey,LCB,23.320,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,4,1,5,1,0
Niles Paul,TE,29.031,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,1,0,1,0,0
Yannick Ngakoue,DE,23.162,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,1,0,1,0,0
Lerentee McCray,DE,28.014,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,1.0,1,1,2,1,1
Abry Jones,DT,27.001,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,1,1,2,1,0
Leon Jacobs,LB,22.341,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,1,1,2,0,0
Malik Jackson,DT,28.241,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,1,3,4,1,3
Myles Jack,MLB,23.006,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,7,3,10,0,0
D.J. Hayden,CB,28.074,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,3,1,4,0,0
Ronnie Harrison,DB,21.144,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,2,1,3,0,0
Tashaun Gipson,FS,28.033,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,3,1,4,0,0
Marcell Dareus,NT,28.180,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,3,2,5,0,0
Barry Church,SS,30.210,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,6,0,6,2,0
DJ Chark,WR,21.351,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,1,0,1,0,0
Calais Campbell,DE,32.008,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,1.0,3,0,3,2,2
A.J. Bouye,RCB,27.024,2018-09-09,NFL,JAX,@,NYG,W 20-15,1,1,Sun,0.0,2,2,4,0,0
Xavier Williams,NT,26.234,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,1,3,4,0,0
De'Anthony Thomas,WR,25.247,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,1,0,1,0,0
Tremon Smith,LB,22.051,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,1,0,1,0,0
Terrance Smith,DB,25.129,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,2,3,5,0,0
Orlando Scandrick,CB,31.211,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,1,0,1,0,0
Reggie Ragland,RILB,24.350,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,2,5,7,0,0
Ron Parker,S,31.023,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,7,2,9,0,0
Steven Nelson,RCB,25.230,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,4,4,8,0,0
Eric Murray,S,24.245,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,4,5,9,0,0
Tanoh Kpassagnon,DE,24.087,2018-09-09,NFL,KAN,@,LAC,W 38-28,1,1,Sun,0.0,1,1,2,0,0
