player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Mike Gesicki,TE,22.362,2018-09-30,NFL,MIA,@,NWE,L 7-38,4,4,Sun,2,1,9,9.00,0,50.0%,4.50
Kenyan Drake,RB,24.247,2018-09-30,NFL,MIA,@,NWE,L 7-38,4,4,Sun,2,1,13,13.00,0,50.0%,6.50
Danny Amendola,WR,32.332,2018-09-30,NFL,MIA,@,NWE,L 7-38,4,4,Sun,3,2,21,10.50,0,66.7%,7.00
Laquon Treadwell,WR,23.105,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,7,4,47,11.75,0,57.1%,6.71
Adam Thielen,WR,28.036,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,12,8,135,16.88,1,66.7%,11.25
Kyle Rudolph,TE,28.322,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,6,5,57,11.40,0,83.3%,9.50
Aldrick Robinson,WR,30.003,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,2,2,33,16.50,2,100.0%,16.50
Latavius Murray,RB,28.252,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,2,2,16,8.00,0,100.0%,8.00
David Morgan,TE,25.131,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,1,1,3,3.00,0,100.0%,3.00
C.J. Ham,FB,25.067,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,2,2,7,3.50,0,100.0%,3.50
Stefon Diggs,WR,24.302,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,15,11,123,11.18,0,73.3%,8.20
Mike Boone,RB,23.089,2018-09-27,NFL,MIN,@,LAR,L 31-38,4,4,Thu,1,1,1,1.00,0,100.0%,1.00
Ben Watson,TE,37.286,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,3,1,23,23.00,0,33.3%,7.67
Michael Thomas,WR,25.211,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,4,4,47,11.75,0,100.0%,11.75
Cameron Meredith,WR,26.009,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,4,3,32,10.67,0,75.0%,8.00
Alvin Kamara,RB,23.067,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,9,5,47,9.40,0,55.6%,5.22
Taysom Hill,QB,28.038,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,1,1,-4,-4.00,0,100.0%,-4.00
Josh Hill,TE,28.132,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,3,3,63,21.00,0,100.0%,21.00
Justin Hardee,DB,24.235,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,1,1,10,10.00,0,100.0%,10.00
Mike Gillislee,RB,27.333,2018-09-30,NFL,NOR,@,NYG,W 33-18,4,4,Sun,1,1,9,9.00,0,100.0%,9.00
James White,RB,26.239,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,10,8,68,8.50,1,80.0%,6.80
Cordarrelle Patterson,WR,27.197,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,5,3,54,18.00,1,60.0%,10.80
Chris Hogan,WR,30.341,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,1,1,25,25.00,0,100.0%,25.00
Rob Gronkowski,TE,29.139,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,7,4,44,11.00,0,57.1%,6.29
Josh Gordon,WR,27.170,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,2,2,32,16.00,0,100.0%,16.00
Phillip Dorsett,WR,25.268,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,7,4,55,13.75,1,57.1%,7.86
Dwayne Allen,TE,28.218,2018-09-30,NFL,NWE,,MIA,W 38-7,4,4,Sun,2,1,-4,-4.00,0,50.0%,-2.00
Bilal Powell,RB,29.338,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,7,4,26,6.50,0,57.1%,3.71
Jordan Leggett,TE,23.242,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,4,3,13,4.33,1,75.0%,3.25
Jermaine Kearse,WR,28.236,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,5,2,23,11.50,0,40.0%,4.60
Chris Herndon,TE,22.219,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,1,1,18,18.00,0,100.0%,18.00
Quincy Enunwa,WR,26.122,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,8,4,66,16.50,0,50.0%,8.25
Isaiah Crowell,RB,25.265,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,1,1,3,3.00,0,100.0%,3.00
Robby Anderson,WR,25.144,2018-09-30,NFL,NYJ,@,JAX,L 12-31,4,4,Sun,6,2,18,9.00,0,33.3%,3.00
Wendell Smallwood,RB,24.244,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,5,3,15,5.00,0,60.0%,3.00
Jordan Matthews,WR,26.076,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,3,1,56,56.00,1,33.3%,18.67
Alshon Jeffery,WR,28.228,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,9,8,105,13.13,1,88.9%,11.67
Dallas Goedert,TE,23.270,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,2,2,13,6.50,0,100.0%,6.50
Zach Ertz,TE,27.324,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,14,10,112,11.20,0,71.4%,8.00
Jay Ajayi,RB,25.107,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,4,3,11,3.67,0,75.0%,2.75
Kamar Aiken,WR,29.123,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,1,1,14,14.00,0,100.0%,14.00
Nelson Agholor,WR,25.129,2018-09-30,NFL,PHI,@,TEN,L 23-26,4,4,Sun,12,5,22,4.40,0,41.7%,1.83
James Washington,WR,22.181,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,4,2,10,5.00,0,50.0%,2.50
Ryan Switzer,WR,23.330,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,7,7,32,4.57,0,100.0%,4.57
JuJu Smith-Schuster,WR,21.312,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,11,4,60,15.00,0,36.4%,5.45
Vance McDonald,TE,28.109,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,5,5,62,12.40,0,100.0%,12.40
Jesse James,TE,24.118,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,1,1,23,23.00,0,100.0%,23.00
James Conner,RB,23.148,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,7,3,25,8.33,0,42.9%,3.57
Antonio Brown,WR,30.082,2018-09-30,NFL,PIT,,BAL,L 14-26,4,4,Sun,11,5,62,12.40,1,45.5%,5.64
Nick Vannett,TE,25.208,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,2,1,6,6.00,0,50.0%,3.00
David Moore,WR,23.258,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,2,2,39,19.50,0,100.0%,19.50
Brandon Marshall,WR,34.191,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,3,1,5,5.00,0,33.3%,1.67
Tyler Lockett,WR,26.002,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,6,5,53,10.60,0,83.3%,8.83
Will Dissly,TE,22.084,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,1,1,5,5.00,0,100.0%,5.00
Mike Davis,RB,25.223,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,4,4,23,5.75,0,100.0%,5.75
Doug Baldwin,WR,30.009,2018-09-30,NFL,SEA,@,ARI,W 20-17,4,4,Sun,7,5,41,8.20,0,71.4%,5.86
Trent Taylor,WR,24.153,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,3,2,12,6.00,0,66.7%,4.00
Alfred Morris,RB,29.292,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,3,1,4,4.00,0,33.3%,1.33
George Kittle,TE,24.356,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,8,6,125,20.83,1,75.0%,15.63
Kyle Juszczyk,FB,27.160,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,3,2,15,7.50,0,66.7%,5.00
Marquise Goodwin,WR,27.315,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,4,2,24,12.00,0,50.0%,6.00
Pierre Garcon,WR,32.053,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,7,4,52,13.00,0,57.1%,7.43
Matt Breida,RB,23.214,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,3,3,32,10.67,0,100.0%,10.67
Kendrick Bourne,WR,23.057,2018-09-30,NFL,SFO,@,LAC,L 27-29,4,4,Sun,4,3,34,11.33,1,75.0%,8.50
Ronald Jones,RB,21.058,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,2,1,-1,-1.00,0,50.0%,-0.50
DeSean Jackson,WR,31.303,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,8,5,112,22.40,0,62.5%,14.00
Adam Humphries,WR,25.098,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,7,6,36,6.00,0,85.7%,5.14
Chris Godwin,WR,22.215,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,2,2,22,11.00,0,100.0%,11.00
Mike Evans,WR,25.040,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,9,6,59,9.83,0,66.7%,6.56
Cameron Brate,TE,27.089,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,4,3,29,9.67,1,75.0%,7.25
Peyton Barber,RB,24.215,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,2,1,6,6.00,0,50.0%,3.00
Antony Auclair,TE,25.125,2018-09-30,NFL,TAM,@,CHI,L 10-48,4,4,Sun,1,1,8,8.00,0,100.0%,8.00
Ito Smith,RB,23.026,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,1,1,5,5.00,0,100.0%,5.00
Matt Schaub,QB,37.104,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,1,1,-7,-7.00,0,100.0%,-7.00
Eric Saubert,TE,24.159,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,2,1,8,8.00,0,50.0%,4.00
Mohamed Sanu,WR,29.046,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,7,4,73,18.25,1,57.1%,10.43
Calvin Ridley,WR,23.291,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,5,4,38,9.50,0,80.0%,7.60
Julio Jones,WR,29.241,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,9,5,62,12.40,0,55.6%,6.89
Austin Hooper,TE,23.337,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,12,9,77,8.56,0,75.0%,6.42
Marvin Hall,WR,25.180,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,3,2,25,12.50,0,66.7%,8.33
Devonta Freeman,RB,26.206,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,2,2,9,4.50,0,100.0%,4.50
Tevin Coleman,RB,25.174,2018-10-07,NFL,ATL,@,PIT,L 17-41,5,5,Sun,2,2,15,7.50,0,100.0%,7.50
LeSean McCoy,RB,30.087,2018-10-07,NFL,BUF,,TEN,W 13-12,5,5,Sun,3,2,23,11.50,0,66.7%,7.67
Ray-Ray McCloud,WR,21.357,2018-10-07,NFL,BUF,,TEN,W 13-12,5,5,Sun,1,1,7,7.00,0,100.0%,7.00
Zay Jones,WR,23.191,2018-10-07,NFL,BUF,,TEN,W 13-12,5,5,Sun,4,3,20,6.67,0,75.0%,5.00
Jason Croom,TE,24.221,2018-10-07,NFL,BUF,,TEN,W 13-12,5,5,Sun,2,2,9,4.50,0,100.0%,4.50
Charles Clay,TE,29.236,2018-10-07,NFL,BUF,,TEN,W 13-12,5,5,Sun,1,1,12,12.00,0,100.0%,12.00
Kelvin Benjamin,WR,27.244,2018-10-07,NFL,BUF,,TEN,W 13-12,5,5,Sun,5,1,11,11.00,0,20.0%,2.20
Jarius Wright,WR,28.316,2018-10-07,NFL,CAR,,NYG,W 33-31,4,5,Sun,6,3,25,8.33,0,50.0%,4.17
Ian Thomas,TE,22.123,2018-10-07,NFL,CAR,,NYG,W 33-31,4,5,Sun,6,3,38,12.67,0,50.0%,6.33
Curtis Samuel,WR,22.057,2018-10-07,NFL,CAR,,NYG,W 33-31,4,5,Sun,4,2,37,18.50,1,50.0%,9.25
D.J. Moore,WR,21.176,2018-10-07,NFL,CAR,,NYG,W 33-31,4,5,Sun,4,4,49,12.25,0,100.0%,12.25
Christian McCaffrey,RB,22.122,2018-10-07,NFL,CAR,,NYG,W 33-31,4,5,Sun,6,5,35,7.00,1,83.3%,5.83
Devin Funchess,WR,24.139,2018-10-07,NFL,CAR,,NYG,W 33-31,4,5,Sun,7,4,53,13.25,0,57.1%,7.57
Mark Walton,HB,21.192,2018-10-07,NFL,CIN,,MIA,W 27-17,5,5,Sun,3,2,3,1.50,0,66.7%,1.00
C.J. Uzomah,TE,25.266,2018-10-07,NFL,CIN,,MIA,W 27-17,5,5,Sun,2,2,43,21.50,0,100.0%,21.50
Joe Mixon,HB,22.075,2018-10-07,NFL,CIN,,MIA,W 27-17,5,5,Sun,4,3,22,7.33,1,75.0%,5.50
A.J. Green,WR,30.068,2018-10-07,NFL,CIN,,MIA,W 27-17,5,5,Sun,10,6,112,18.67,0,60.0%,11.20
Alex Erickson,WR,25.335,2018-10-07,NFL,CIN,,MIA,W 27-17,5,5,Sun,3,3,24,8.00,0,100.0%,8.00
Tyler Boyd,WR,23.326,2018-10-07,NFL,CIN,,MIA,W 27-17,5,5,Sun,7,4,44,11.00,0,57.1%,6.29
Derrick Willies,WR,23.360,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,5,3,61,20.33,0,60.0%,12.20
David Njoku,TE,22.089,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,10,6,69,11.50,0,60.0%,6.90
Jarvis Landry,WR,25.313,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,11,5,69,13.80,0,45.5%,6.27
Duke Johnson,RB,25.014,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,1,1,7,7.00,0,100.0%,7.00
Carlos Hyde,RB,28.017,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,3,2,14,7.00,0,66.7%,4.67
Rashard Higgins,WR,24.000,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,4,3,66,22.00,1,75.0%,16.50
Darren Fells,TE,32.168,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,1,1,8,8.00,0,100.0%,8.00
Seth Devalve,TE,25.251,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,1,1,26,26.00,0,100.0%,26.00
Antonio Callaway,WR,21.271,2018-10-07,NFL,CLE,,BAL,W 12-9,5,5,Sun,5,3,22,7.33,0,60.0%,4.40
Deonte Thompson,WR,29.235,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,4,2,19,9.50,0,50.0%,4.75
Geoff Swaim,TE,25.021,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,3,3,55,18.33,0,100.0%,18.33
Blake Jarwin,TE,24.083,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,2,1,11,11.00,0,50.0%,5.50
Allen Hurns,WR,26.329,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,2,1,3,3.00,1,50.0%,1.50
Rico Gathers,TE,24.273,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,1,1,32,32.00,0,100.0%,32.00
Michael Gallup,WR,22.186,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,3,1,6,6.00,0,33.3%,2.00
Ezekiel Elliott,RB,23.077,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,7,7,30,4.29,0,100.0%,4.29
Cole Beasley,WR,29.164,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,3,1,8,8.00,0,33.3%,2.67
Tavon Austin,WR,28.206,2018-10-07,NFL,DAL,@,HOU,L 16-19,5,5,Sun,3,1,44,44.00,0,33.3%,14.67
Demaryius Thomas,WR,30.286,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,6,5,105,21.00,1,83.3%,17.50
Courtland Sutton,WR,22.362,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,6,2,18,9.00,1,33.3%,3.00
Emmanuel Sanders,WR,31.204,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,14,9,72,8.00,0,64.3%,5.14
Tim Patrick,WR,24.318,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,1,1,6,6.00,0,100.0%,6.00
Phillip Lindsay,RB,24.075,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,4,3,20,6.67,0,75.0%,5.00
Matt LaCosse,TE,26.016,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,2,2,19,9.50,0,100.0%,9.50
Jeff Heuerman,TE,25.317,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,4,2,18,9.00,0,50.0%,4.50
DaeSean Hamilton,WR,23.211,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,3,3,44,14.67,0,100.0%,14.67
Royce Freeman,RB,22.225,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,4,3,16,5.33,0,75.0%,4.00
Devontae Booker,RB,26.133,2018-10-07,NFL,DEN,@,NYJ,L 16-34,5,5,Sun,6,5,59,11.80,0,83.3%,9.83
Golden Tate,WR,30.066,2018-10-07,NFL,DET,,GNB,W 31-23,5,5,Sun,7,5,42,8.40,0,71.4%,6.00
Theo Riddick,RB,27.156,2018-10-07,NFL,DET,,GNB,W 31-23,5,5,Sun,3,2,20,10.00,0,66.7%,6.67
Marvin Jones,WR,28.209,2018-10-07,NFL,DET,,GNB,W 31-23,5,5,Sun,4,1,8,8.00,1,25.0%,2.00
Kerryon Johnson,RB,21.099,2018-10-07,NFL,DET,,GNB,W 31-23,5,5,Sun,2,2,15,7.50,0,100.0%,7.50
Kenny Golladay,WR,24.338,2018-10-07,NFL,DET,,GNB,W 31-23,5,5,Sun,9,4,98,24.50,1,44.4%,10.89
Jamaal Williams,RB,23.187,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,4,2,19,9.50,0,50.0%,4.75
Marquez Valdes-Scantling,WR,23.362,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,11,7,68,9.71,1,63.6%,6.18
Equanimeous St. Brown,WR,22.007,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,5,3,89,29.67,0,60.0%,17.80
Ty Montgomery,RB,25.258,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,3,1,23,23.00,0,33.3%,7.67
Lance Kendricks,TE,30.250,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,2,2,8,4.00,1,100.0%,4.00
Aaron Jones,RB,23.309,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,3,2,19,9.50,0,66.7%,6.33
Jimmy Graham,TE,31.317,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,10,6,76,12.67,0,60.0%,7.60
Davante Adams,WR,25.287,2018-10-07,NFL,GNB,@,DET,L 23-31,5,5,Sun,12,9,140,15.56,1,75.0%,11.67
T.J. Yeldon,RB,25.005,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,11,8,69,8.63,1,72.7%,6.27
Dede Westbrook,WR,24.320,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,5,3,55,18.33,0,60.0%,11.00
Niles Paul,TE,29.059,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,9,7,65,9.29,0,77.8%,7.22
James O'Shaughnessy,TE,26.266,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,6,3,27,9.00,0,50.0%,4.50
Donte Moncrief,WR,25.062,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,14,6,76,12.67,0,42.9%,5.43
Keelan Cole,WR,25.170,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,10,4,70,17.50,0,40.0%,7.00
DJ Chark,WR,22.014,2018-10-07,NFL,JAX,@,KAN,L 14-30,5,5,Sun,4,2,68,34.00,0,50.0%,17.00
Sammy Watkins,WR,25.115,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,8,6,78,13.00,0,75.0%,9.75
Spencer Ware,RB,26.318,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,1,1,13,13.00,0,100.0%,13.00
De'Anthony Thomas,WR,25.275,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,1,1,13,13.00,0,100.0%,13.00
Anthony Sherman,FB,29.300,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,1,1,15,15.00,0,100.0%,15.00
Travis Kelce,TE,29.002,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,8,5,100,20.00,0,62.5%,12.50
Kareem Hunt,RB,23.062,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,2,1,7,7.00,0,50.0%,3.50
Tyreek Hill,WR,24.220,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,7,4,61,15.25,0,57.1%,8.71
Demetrius Harris,TE,27.070,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,2,1,5,5.00,0,50.0%,2.50
Chris Conley,WR,25.347,2018-10-07,NFL,KAN,,JAX,W 30-14,5,5,Sun,5,2,21,10.50,0,40.0%,4.20
Albert Wilson,WR,26.087,2018-10-07,NFL,MIA,@,CIN,L 17-27,5,5,Sun,6,5,43,8.60,0,83.3%,7.17
Kenny Stills,WR,26.168,2018-10-07,NFL,MIA,@,CIN,L 17-27,5,5,Sun,5,2,17,8.50,0,40.0%,3.40
Mike Gesicki,TE,23.004,2018-10-07,NFL,MIA,@,CIN,L 17-27,5,5,Sun,5,3,26,8.67,0,60.0%,5.20
Kenyan Drake,RB,24.254,2018-10-07,NFL,MIA,@,CIN,L 17-27,5,5,Sun,11,7,69,9.86,1,63.6%,6.27
Danny Amendola,WR,32.339,2018-10-07,NFL,MIA,@,CIN,L 17-27,5,5,Sun,4,3,30,10.00,0,75.0%,7.50
Laquon Treadwell,WR,23.115,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,4,3,21,7.00,0,75.0%,5.25
Roc Thomas,RB,23.035,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,2,1,6,6.00,0,50.0%,3.00
Adam Thielen,WR,28.046,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,10,7,116,16.57,1,70.0%,11.60
Kyle Rudolph,TE,28.332,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,5,5,41,8.20,0,100.0%,8.20
Latavius Murray,RB,28.262,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,2,2,14,7.00,0,100.0%,7.00
David Morgan,TE,25.141,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,1,1,5,5.00,0,100.0%,5.00
C.J. Ham,FB,25.077,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,1,1,7,7.00,0,100.0%,7.00
Stefon Diggs,WR,24.312,2018-10-07,NFL,MIN,@,PHI,W 23-21,5,5,Sun,11,10,91,9.10,0,90.9%,8.27
Ben Watson,TE,37.294,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,4,4,30,7.50,0,100.0%,7.50
Michael Thomas,WR,25.219,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,5,4,74,18.50,0,80.0%,14.80
Tre'Quan Smith,WR,22.274,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,3,3,111,37.00,2,100.0%,37.00
Cameron Meredith,WR,26.017,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,5,5,71,14.20,0,100.0%,14.20
Alvin Kamara,RB,23.075,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,4,3,15,5.00,0,75.0%,3.75
Mark Ingram,RB,28.291,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,3,2,20,10.00,0,66.7%,6.67
Josh Hill,TE,28.140,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,2,2,24,12.00,1,100.0%,12.00
Austin Carr,WR,24.287,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,2,2,17,8.50,0,100.0%,8.50
Drew Brees,QB,39.266,2018-10-08,NFL,NOR,,WAS,W 43-19,5,5,Mon,1,1,1,1.00,0,100.0%,1.00
James White,RB,26.243,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,14,10,77,7.70,1,71.4%,5.50
Cordarrelle Patterson,WR,27.201,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,2,2,11,5.50,1,100.0%,5.50
Sony Michel,RB,23.229,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,1,1,12,12.00,0,100.0%,12.00
Chris Hogan,WR,30.345,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,4,3,34,11.33,0,75.0%,8.50
Rob Gronkowski,TE,29.143,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,7,6,75,12.50,0,85.7%,10.71
Josh Gordon,WR,27.174,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,4,2,50,25.00,1,50.0%,12.50
Julian Edelman,WR,32.135,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,9,7,57,8.14,0,77.8%,6.33
Phillip Dorsett,WR,25.272,2018-10-04,NFL,NWE,,IND,W 38-24,5,5,Thu,3,3,25,8.33,0,100.0%,8.33
Eric Tomlinson,TE,26.168,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,3,2,15,7.50,0,66.7%,5.00
Andre Roberts,WR,30.271,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,2,1,4,4.00,0,50.0%,2.00
Terrelle Pryor,WR,29.109,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,1,1,20,20.00,1,100.0%,20.00
Jordan Leggett,TE,23.249,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,1,1,10,10.00,0,100.0%,10.00
Jermaine Kearse,WR,28.243,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,4,1,14,14.00,0,25.0%,3.50
Isaiah Crowell,RB,25.272,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,1,1,12,12.00,0,100.0%,12.00
Robby Anderson,WR,25.151,2018-10-07,NFL,NYJ,,DEN,W 34-16,5,5,Sun,5,3,123,41.00,2,60.0%,24.60
Wendell Smallwood,RB,24.251,2018-10-07,NFL,PHI,,MIN,L 21-23,5,5,Sun,4,3,44,14.67,1,75.0%,11.00
