player,pos,age,game_date,league_id,team,game_location,opp,game_result,game_num,week_num,game_day_of_week,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
Jay Ajayi,RB,25.093,2018-09-16,NFL,PHI,@,TAM,L 21-27,2,2,Sun,1,1,4,4.00,0,100.0%,4.00
Kamar Aiken,WR,29.109,2018-09-16,NFL,PHI,@,TAM,L 21-27,2,2,Sun,6,5,39,7.80,0,83.3%,6.50
Nelson Agholor,WR,25.115,2018-09-16,NFL,PHI,@,TAM,L 21-27,2,2,Sun,12,8,88,11.00,1,66.7%,7.33
James Washington,WR,22.167,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,5,1,14,14.00,1,20.0%,2.80
Ryan Switzer,WR,23.316,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,2,1,14,14.00,0,50.0%,7.00
JuJu Smith-Schuster,WR,21.298,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,19,13,121,9.31,1,68.4%,6.37
Stevan Ridley,RB,29.232,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,1,1,5,5.00,0,100.0%,5.00
Roosevelt Nix,FB,26.170,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,1,1,19,19.00,0,100.0%,19.00
Vance McDonald,TE,28.095,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,5,3,26,8.67,0,60.0%,5.20
Jesse James,TE,24.104,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,5,5,138,27.60,1,100.0%,27.60
James Conner,RB,23.134,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,5,5,48,9.60,0,100.0%,9.60
Antonio Brown,WR,30.068,2018-09-16,NFL,PIT,,KAN,L 37-42,2,2,Sun,17,9,67,7.44,0,52.9%,3.94
Nick Vannett,TE,25.195,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,5,3,23,7.67,0,60.0%,4.60
C.J. Prosise,RB,24.120,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,3,3,22,7.33,0,100.0%,7.33
Brandon Marshall,WR,34.178,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,6,4,44,11.00,0,66.7%,7.33
Tyler Lockett,WR,25.354,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,7,5,60,12.00,1,71.4%,8.57
Will Dissly,TE,22.071,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,5,3,42,14.00,1,60.0%,8.40
Mike Davis,RB,25.210,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,1,1,-1,-1.00,0,100.0%,-1.00
Jaron Brown,WR,28.252,2018-09-17,NFL,SEA,@,CHI,L 17-24,2,2,Mon,3,3,36,12.00,0,100.0%,12.00
Dante Pettis,WR,22.328,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,2,1,35,35.00,0,50.0%,17.50
Alfred Morris,RB,29.278,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,2,2,32,16.00,0,100.0%,16.00
George Kittle,TE,24.342,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,4,2,22,11.00,0,50.0%,5.50
Kyle Juszczyk,FB,27.146,2018-09-16,NFL,SFO,,DET,W 30-27,2,2,Sun,4,3,13,4.33,0,75.0%,3.25
